"Frequency (Hz)","Absolute Amplitude (a.u.)"
4.476562500E3,2.048994635E-1
4.500000000E3,1.956766005E-1
4.523437500E3,2.295384994E-1
4.546875000E3,1.975922458E-1
4.570312500E3,1.435990534E-1
4.593750000E3,1.806368197E-1
4.617187500E3,1.594911579E-1
4.640625000E3,1.188137527E-1
4.664062500E3,1.405763336E-1
4.687500000E3,1.715456701E-1
4.710937500E3,1.963046985E-1
4.734375000E3,1.174899760E-1
4.757812500E3,1.787869506E-1
4.781250000E3,8.592812151E-2
4.804687500E3,1.281391090E-1
4.828125000E3,1.010001928E-1
4.851562500E3,1.520921188E-1
4.875000000E3,1.691929888E-1
4.898437500E3,1.508449060E-1
4.921875000E3,1.498077869E-1
4.945312500E3,1.773788611E-1
4.968750000E3,1.868817122E-1
4.992187500E3,1.493254581E-1
5.015625000E3,1.419961326E-1
5.039062500E3,1.168587934E-1
5.062500000E3,1.724284037E-1
5.085937500E3,1.483427894E-1
5.109375000E3,1.604544845E-1
5.132812500E3,1.743089369E-1
5.156250000E3,1.343900965E-1
5.179687500E3,1.908709033E-1
5.203125000E3,1.718145330E-1
5.226562500E3,1.599471122E-1
5.250000000E3,1.351027451E-1
5.273437500E3,1.528341364E-1
5.296875000E3,1.703152626E-1
5.320312500E3,1.311631502E-1
5.343750000E3,1.395807648E-1
5.367187500E3,1.449614256E-1
5.390625000E3,1.360858718E-1
5.414062500E3,1.400788172E-1
5.437500000E3,1.409943452E-1
5.460937500E3,1.614427421E-1
5.484375000E3,1.558739422E-1
5.507812500E3,1.212432691E-1
5.531250000E3,1.443313776E-1
5.554687500E3,1.634471334E-1
5.578125000E3,1.428515654E-1
5.601562500E3,1.407109107E-1
5.625000000E3,1.468888465E-1
5.648437500E3,1.490223985E-1
5.671875000E3,1.577272206E-1
5.695312500E3,1.326949800E-1
5.718750000E3,1.330163851E-1
5.742187500E3,1.289372865E-1
5.765625000E3,1.344328189E-1
5.789062500E3,1.494531505E-1
5.812500000E3,1.399724649E-1
5.835937500E3,1.223469718E-1
5.859375000E3,1.463619161E-1
5.882812500E3,1.433541808E-1
5.906250000E3,1.344457843E-1
5.929687500E3,1.569724205E-1
5.953125000E3,1.453891752E-1
5.976562500E3,1.546256887E-1
6.000000000E3,1.385512069E-1
6.023437500E3,1.461424039E-1
6.046875000E3,1.173698703E-1
6.070312500E3,1.343111874E-1
6.093750000E3,1.392615509E-1
6.117187500E3,1.122364070E-1
6.140625000E3,1.373487250E-1
6.164062500E3,1.170687615E-1
6.187500000E3,1.312784901E-1
6.210937500E3,1.260259980E-1
6.234375000E3,1.174460643E-1
6.257812500E3,1.247539960E-1
6.281250000E3,1.366338982E-1
6.304687500E3,1.322558256E-1
6.328125000E3,1.323953085E-1
6.351562500E3,1.242980980E-1
6.375000000E3,1.307112887E-1
6.398437500E3,1.284893367E-1
6.421875000E3,1.212424546E-1
6.445312500E3,1.338955674E-1
6.468750000E3,1.379146543E-1
6.492187500E3,1.400374235E-1
6.515625000E3,1.526945083E-1
6.539062500E3,1.134996283E-1
6.562500000E3,1.044782966E-1
6.585937500E3,1.162083405E-1
6.609375000E3,1.204712457E-1
6.632812500E3,1.186497503E-1
6.656250000E3,1.216455868E-1
6.679687500E3,1.134463397E-1
6.703125000E3,1.186009830E-1
6.726562500E3,1.184525072E-1
6.750000000E3,1.159447489E-1
6.773437500E3,1.165351825E-1
6.796875000E3,1.196932983E-1
6.820312500E3,1.178105377E-1
6.843750000E3,1.265473599E-1
6.867187500E3,1.118661839E-1
6.890625000E3,1.252465457E-1
6.914062500E3,9.638213864E-2
6.937500000E3,9.987087248E-2
6.960937500E3,1.101575985E-1
6.984375000E3,1.184337855E-1
7.007812500E3,1.120148469E-1
7.031250000E3,1.088907109E-1
7.054687500E3,1.199211281E-1
7.078125000E3,1.240249030E-1
7.101562500E3,1.414766432E-1
7.125000000E3,1.125636140E-1
7.148437500E3,1.187617593E-1
7.171875000E3,1.377565270E-1
7.195312500E3,1.179339946E-1
7.218750000E3,7.483482456E-2
7.242187500E3,1.031141856E-1
7.265625000E3,1.168147423E-1
7.289062500E3,1.047989390E-1
7.312500000E3,1.093210638E-1
7.335937500E3,8.119267577E-2
7.359375000E3,1.083391047E-1
7.382812500E3,1.186308891E-1
7.406250000E3,8.270663463E-2
7.429687500E3,8.842090977E-2
7.453125000E3,1.188063457E-1
7.476562500E3,9.212757549E-2
7.500000000E3,1.074666694E-1
7.523437500E3,1.027272845E-1
7.546875000E3,9.512553331E-2
7.570312500E3,1.124455625E-1
7.593750000E3,1.256505152E-1
7.617187500E3,1.004158388E-1
7.640625000E3,1.045220568E-1
7.664062500E3,1.122786011E-1
7.687500000E3,1.037503441E-1
7.710937500E3,1.026542457E-1
7.734375000E3,9.739264328E-2
7.757812500E3,8.454092141E-2
7.781250000E3,1.027389353E-1
7.804687500E3,1.084893048E-1
7.828125000E3,1.021392213E-1
7.851562500E3,9.923556216E-2
7.875000000E3,9.579377657E-2
7.898437500E3,9.854925095E-2
7.921875000E3,1.023687854E-1
7.945312500E3,1.080803703E-1
7.968750000E3,1.045309454E-1
7.992187500E3,9.230029653E-2
8.015625000E3,9.216687893E-2
8.039062500E3,9.498713184E-2
8.062500000E3,9.772206248E-2
8.085937500E3,9.435471367E-2
8.109375000E3,9.567530811E-2
8.132812500E3,9.769907299E-2
8.156250000E3,9.731139301E-2
8.179687500E3,9.101158420E-2
8.203125000E3,9.698087769E-2
8.226562500E3,9.631871026E-2
8.250000000E3,1.013335785E-1
8.273437500E3,1.047900170E-1
8.296875000E3,9.060559539E-2
8.320312500E3,8.881869304E-2
8.343750000E3,9.993632560E-2
8.367187500E3,1.047656577E-1
8.390625000E3,8.613449932E-2
8.414062500E3,9.831038078E-2
8.437500000E3,1.018735779E-1
8.460937500E3,9.208528087E-2
8.484375000E3,9.666067050E-2
8.507812500E3,8.006886479E-2
8.531250000E3,8.439242341E-2
8.554687500E3,8.650423924E-2
8.578125000E3,1.000204091E-1
8.601562500E3,7.793661765E-2
8.625000000E3,9.553614245E-2
8.648437500E3,1.018100656E-1
8.671875000E3,8.700862079E-2
8.695312500E3,9.285185655E-2
8.718750000E3,8.735382611E-2
8.742187500E3,9.138695991E-2
8.765625000E3,8.996982251E-2
8.789062500E3,9.398477101E-2
8.812500000E3,8.825242866E-2
8.835937500E3,9.233652148E-2
8.859375000E3,9.655280456E-2
8.882812500E3,9.048063865E-2
8.906250000E3,9.005548860E-2
8.929687500E3,8.890025118E-2
8.953125000E3,9.148483776E-2
8.976562500E3,9.454953836E-2
9.000000000E3,8.757237110E-2
9.023437500E3,8.872662362E-2
9.046875000E3,8.292790988E-2
9.070312500E3,8.861294648E-2
9.093750000E3,9.076219751E-2
9.117187500E3,9.073143733E-2
9.140625000E3,8.705440117E-2
9.164062500E3,8.649576480E-2
9.187500000E3,8.931869156E-2
9.210937500E3,8.564306324E-2
9.234375000E3,8.899095117E-2
9.257812500E3,8.376833561E-2
9.281250000E3,8.391088746E-2
9.304687500E3,8.734569154E-2
9.328125000E3,9.018406785E-2
9.351562500E3,8.345643997E-2
9.375000000E3,8.753974061E-2
9.398437500E3,8.753639231E-2
9.421875000E3,8.397943890E-2
9.445312500E3,8.543765787E-2
9.468750000E3,8.590589037E-2
9.492187500E3,8.380645090E-2
9.515625000E3,8.294892895E-2
9.539062500E3,8.734633076E-2
9.562500000E3,8.873194436E-2
9.585937500E3,8.643100528E-2
9.609375000E3,8.530809466E-2
9.632812500E3,8.596907444E-2
9.656250000E3,8.479163976E-2
9.679687500E3,8.454796570E-2
9.703125000E3,8.233791096E-2
9.726562500E3,8.095339718E-2
9.750000000E3,8.294996443E-2
9.773437500E3,8.381875131E-2
9.796875000E3,8.085236965E-2
9.820312500E3,8.206850336E-2
9.843750000E3,7.466336402E-2
9.867187500E3,7.913883159E-2
9.890625000E3,8.310224152E-2
9.914062500E3,8.662703654E-2
9.937500000E3,8.371965873E-2
9.960937500E3,8.630263134E-2
9.984375000E3,7.853134117E-2
1.000781250E4,7.978521253E-2
1.003125000E4,8.028483229E-2
1.005468750E4,8.473912713E-2
1.007812500E4,8.336372709E-2
1.010156250E4,7.961026928E-2
1.012500000E4,8.357357310E-2
1.014843750E4,8.050362345E-2
1.017187500E4,7.774240596E-2
1.019531250E4,7.984172499E-2
1.021875000E4,7.618238671E-2
1.024218750E4,7.310443645E-2
1.026562500E4,8.170387584E-2
1.028906250E4,8.535565227E-2
1.031250000E4,7.778075935E-2
1.033593750E4,8.038884416E-2
1.035937500E4,8.331690013E-2
1.038281250E4,7.812797794E-2
1.040625000E4,7.761089252E-2
1.042968750E4,7.711145935E-2
1.045312500E4,8.093349068E-2
1.047656250E4,7.957498596E-2
1.050000000E4,8.199603288E-2
1.052343750E4,7.799153424E-2
1.054687500E4,7.801725576E-2
1.057031250E4,7.757850479E-2
1.059375000E4,7.815022170E-2
1.061718750E4,7.640870355E-2
1.064062500E4,7.097584332E-2
1.066406250E4,8.260256699E-2
1.068750000E4,8.008791559E-2
1.071093750E4,7.477466457E-2
1.073437500E4,7.324183066E-2
1.075781250E4,7.862267450E-2
1.078125000E4,7.527444787E-2
1.080468750E4,7.771915502E-2
1.082812500E4,7.560495711E-2
1.085156250E4,7.718569668E-2
1.087500000E4,7.602707762E-2
1.089843750E4,7.597504611E-2
1.092187500E4,6.628106548E-2
1.094531250E4,7.692638756E-2
1.096875000E4,7.762210444E-2
1.099218750E4,7.756177406E-2
1.101562500E4,7.817633686E-2
1.103906250E4,7.379480043E-2
1.106250000E4,7.754065489E-2
1.108593750E4,7.683185307E-2
1.110937500E4,7.416090392E-2
1.113281250E4,7.302008087E-2
1.115625000E4,7.571627501E-2
1.117968750E4,7.512960729E-2
1.120312500E4,7.484293534E-2
1.122656250E4,7.313537221E-2
1.125000000E4,7.222516020E-2
1.127343750E4,7.284503673E-2
1.129687500E4,7.358131390E-2
1.132031250E4,7.484027045E-2
1.134375000E4,7.335180481E-2
1.136718750E4,7.283659798E-2
1.139062500E4,7.397382470E-2
1.141406250E4,7.207373668E-2
1.143750000E4,7.236405719E-2
1.146093750E4,7.425890471E-2
1.148437500E4,7.199628002E-2
1.150781250E4,7.203739403E-2
1.153125000E4,7.258239869E-2
1.155468750E4,7.123021006E-2
1.157812500E4,7.422621676E-2
1.160156250E4,7.254197078E-2
1.162500000E4,7.067281795E-2
1.164843750E4,7.295149130E-2
1.167187500E4,7.282047921E-2
1.169531250E4,7.171078441E-2
1.171875000E4,7.113510488E-2
1.174218750E4,7.484121332E-2
1.176562500E4,7.018436722E-2
1.178906250E4,7.166731967E-2
1.181250000E4,7.209997320E-2
1.183593750E4,7.024886435E-2
1.185937500E4,7.232765929E-2
1.188281250E4,7.080834970E-2
1.190625000E4,7.015852474E-2
1.192968750E4,6.945866529E-2
1.195312500E4,7.119101756E-2
1.197656250E4,6.898933058E-2
1.200000000E4,6.886517389E-2
1.202343750E4,7.041607792E-2
1.204687500E4,7.016386809E-2
1.207031250E4,7.096207431E-2
1.209375000E4,6.863074256E-2
1.211718750E4,6.895354583E-2
1.214062500E4,6.850907249E-2
1.216406250E4,6.988586583E-2
1.218750000E4,6.852243002E-2
1.221093750E4,6.842406035E-2
1.223437500E4,6.916885889E-2
1.225781250E4,6.999551280E-2
1.228125000E4,6.766146889E-2
1.230468750E4,6.815630674E-2
1.232812500E4,6.899002089E-2
1.235156250E4,6.971952779E-2
1.237500000E4,6.949264440E-2
1.239843750E4,6.835661209E-2
1.242187500E4,6.835960597E-2
1.244531250E4,6.904299907E-2
1.246875000E4,6.975704543E-2
1.249218750E4,6.875591573E-2
1.251562500E4,6.842044047E-2
1.253906250E4,6.760938967E-2
1.256250000E4,6.731215427E-2
1.258593750E4,6.808821437E-2
1.260937500E4,6.815707534E-2
1.263281250E4,6.778950133E-2
1.265625000E4,6.916895444E-2
1.267968750E4,6.743995401E-2
1.270312500E4,6.726948045E-2
1.272656250E4,6.728120235E-2
1.275000000E4,6.676653721E-2
1.277343750E4,6.718581870E-2
1.279687500E4,6.608579243E-2
1.282031250E4,6.617224943E-2
1.284375000E4,6.576574553E-2
1.286718750E4,6.738579493E-2
1.289062500E4,6.758345797E-2
1.291406250E4,6.684054852E-2
1.293750000E4,6.629528840E-2
1.296093750E4,6.637472858E-2
1.298437500E4,6.682936886E-2
1.300781250E4,6.503120371E-2
1.303125000E4,6.586851578E-2
1.305468750E4,6.584174092E-2
1.307812500E4,6.594786001E-2
1.310156250E4,6.650961463E-2
1.312500000E4,6.659575159E-2
1.314843750E4,6.586426873E-2
1.317187500E4,6.595189094E-2
1.319531250E4,6.560677513E-2
1.321875000E4,6.610831921E-2
1.324218750E4,6.516432259E-2
1.326562500E4,6.624293625E-2
1.328906250E4,6.439691053E-2
1.331250000E4,6.535161652E-2
1.333593750E4,6.385013971E-2
1.335937500E4,6.549231660E-2
1.338281250E4,6.475938394E-2
1.340625000E4,6.477179389E-2
1.342968750E4,6.421092697E-2
1.345312500E4,6.534376075E-2
1.347656250E4,6.423158971E-2
1.350000000E4,6.403953425E-2
1.352343750E4,6.438664147E-2
1.354687500E4,6.508484340E-2
1.357031250E4,6.483363207E-2
1.359375000E4,6.283877063E-2
1.361718750E4,6.353146143E-2
1.364062500E4,6.385252104E-2
1.366406250E4,6.430113722E-2
1.368750000E4,6.384439850E-2
1.371093750E4,6.332561314E-2
1.373437500E4,6.422579248E-2
1.375781250E4,6.444207802E-2
1.378125000E4,6.434593760E-2
1.380468750E4,6.340269883E-2
1.382812500E4,6.341147920E-2
1.385156250E4,6.317612299E-2
1.387500000E4,6.345357677E-2
1.389843750E4,6.266135697E-2
1.392187500E4,6.393370279E-2
1.394531250E4,6.232101190E-2
1.396875000E4,6.218303690E-2
1.399218750E4,6.303470235E-2
1.401562500E4,6.256938536E-2
1.403906250E4,6.275825690E-2
1.406250000E4,6.312867800E-2
1.408593750E4,6.331894644E-2
1.410937500E4,6.219544268E-2
1.413281250E4,6.173545431E-2
1.415625000E4,6.262442825E-2
1.417968750E4,6.294139901E-2
1.420312500E4,6.178233625E-2
1.422656250E4,6.243478482E-2
1.425000000E4,6.406399916E-2
1.427343750E4,6.123393422E-2
1.429687500E4,6.119225061E-2
1.432031250E4,5.972571463E-2
1.434375000E4,6.019924542E-2
1.436718750E4,6.239871985E-2
1.439062500E4,6.143173692E-2
1.441406250E4,6.035407946E-2
1.443750000E4,6.126549686E-2
1.446093750E4,6.254117020E-2
1.448437500E4,6.217570275E-2
1.450781250E4,6.089324303E-2
1.453125000E4,6.110813547E-2
1.455468750E4,6.151398933E-2
1.457812500E4,5.992782986E-2
1.460156250E4,6.159963673E-2
1.462500000E4,6.089915525E-2
1.464843750E4,6.141981461E-2
1.467187500E4,5.954307935E-2
1.469531250E4,6.167220917E-2
1.471875000E4,5.992510540E-2
1.474218750E4,6.101572240E-2
1.476562500E4,6.091040714E-2
1.478906250E4,6.016171699E-2
1.481250000E4,5.974269481E-2
1.483593750E4,6.010078064E-2
1.485937500E4,5.945527438E-2
1.488281250E4,5.891403478E-2
1.490625000E4,6.081397879E-2
1.492968750E4,5.921794141E-2
1.495312500E4,5.981715878E-2
1.497656250E4,6.017383344E-2
1.500000000E4,6.085725178E-2
1.502343750E4,5.921651598E-2
1.504687500E4,6.056252927E-2
1.507031250E4,5.961695303E-2
1.509375000E4,5.830254079E-2
1.511718750E4,5.834661683E-2
1.514062500E4,5.944619160E-2
1.516406250E4,5.966234868E-2
1.518750000E4,5.977133719E-2
1.521093750E4,5.926706232E-2
1.523437500E4,5.864749744E-2
1.525781250E4,5.872131107E-2
1.528125000E4,5.844028231E-2
1.530468750E4,5.943399000E-2
1.532812500E4,5.871840263E-2
1.535156250E4,5.861510070E-2
1.537500000E4,5.843504262E-2
1.539843750E4,5.915773082E-2
1.542187500E4,5.871153751E-2
1.544531250E4,5.899552103E-2
1.546875000E4,5.805531754E-2
1.549218750E4,5.816677432E-2
1.551562500E4,5.822618589E-2
1.553906250E4,5.877795798E-2
1.556250000E4,5.816618176E-2
1.558593750E4,5.847040030E-2
1.560937500E4,5.899893712E-2
1.563281250E4,5.782207008E-2
1.565625000E4,5.854249673E-2
1.567968750E4,5.845320066E-2
1.570312500E4,5.847186929E-2
1.572656250E4,5.790551622E-2
1.575000000E4,5.756585796E-2
1.577343750E4,5.774166041E-2
1.579687500E4,5.777014275E-2
1.582031250E4,5.810565241E-2
1.584375000E4,5.814551822E-2
1.586718750E4,5.803691573E-2
1.589062500E4,5.714813427E-2
1.591406250E4,5.749645680E-2
1.593750000E4,5.669205847E-2
1.596093750E4,5.752795032E-2
1.598437500E4,5.668395460E-2
1.600781250E4,5.721183561E-2
1.603125000E4,5.690960882E-2
1.605468750E4,5.749805853E-2
1.607812500E4,5.730092353E-2
1.610156250E4,5.742146470E-2
1.612500000E4,5.687901864E-2
1.614843750E4,5.721274640E-2
1.617187500E4,5.677585442E-2
1.619531250E4,5.689851939E-2
1.621875000E4,5.663643857E-2
1.624218750E4,5.680653807E-2
1.626562500E4,5.720097519E-2
1.628906250E4,5.698949951E-2
1.631250000E4,5.590768958E-2
1.633593750E4,5.657142629E-2
1.635937500E4,5.736469076E-2
1.638281250E4,5.613953392E-2
1.640625000E4,5.608767122E-2
1.642968750E4,5.671531300E-2
1.645312500E4,5.590496862E-2
1.647656250E4,5.575287020E-2
1.650000000E4,5.600134343E-2
1.652343750E4,5.688897748E-2
1.654687500E4,5.643134593E-2
1.657031250E4,5.591490024E-2
1.659375000E4,5.623997135E-2
1.661718750E4,5.650443489E-2
1.664062500E4,5.642376710E-2
1.666406250E4,5.694644017E-2
1.668750000E4,5.606120368E-2
1.671093750E4,5.523511397E-2
1.673437500E4,5.573967603E-2
1.675781250E4,5.572975671E-2
1.678125000E4,5.588091809E-2
1.680468750E4,5.623388178E-2
1.682812500E4,5.624169241E-2
1.685156250E4,5.535776138E-2
1.687500000E4,5.593302999E-2
1.689843750E4,5.584603131E-2
1.692187500E4,5.582648933E-2
1.694531250E4,5.545514007E-2
1.696875000E4,5.528094050E-2
1.699218750E4,5.533913231E-2
1.701562500E4,5.558875476E-2
1.703906250E4,5.541783288E-2
1.706250000E4,5.564694516E-2
1.708593750E4,5.496417756E-2
1.710937500E4,5.508193694E-2
1.713281250E4,5.507424248E-2
1.715625000E4,5.552849567E-2
1.717968750E4,5.530348187E-2
1.720312500E4,5.473483136E-2
1.722656250E4,5.449955414E-2
1.725000000E4,5.425189405E-2
1.727343750E4,5.565646013E-2
1.729687500E4,5.537093933E-2
1.732031250E4,5.476026412E-2
1.734375000E4,5.480633309E-2
1.736718750E4,5.491883252E-2
1.739062500E4,5.466249606E-2
1.741406250E4,5.420221426E-2
1.743750000E4,5.473675685E-2
1.746093750E4,5.453400763E-2
1.748437500E4,5.500666450E-2
1.750781250E4,5.430070664E-2
1.753125000E4,5.443060645E-2
1.755468750E4,5.447231000E-2
1.757812500E4,5.503973273E-2
1.760156250E4,5.495803676E-2
1.762500000E4,5.461596499E-2
1.764843750E4,5.358772251E-2
1.767187500E4,5.344191673E-2
1.769531250E4,5.439963359E-2
1.771875000E4,5.433116324E-2
1.774218750E4,5.442793267E-2
1.776562500E4,5.432789786E-2
1.778906250E4,5.396037958E-2
1.781250000E4,5.404091804E-2
1.783593750E4,5.361732750E-2
1.785937500E4,5.404791548E-2
1.788281250E4,5.396715996E-2
1.790625000E4,5.381360052E-2
1.792968750E4,5.370964811E-2
1.795312500E4,5.439514633E-2
1.797656250E4,5.374165784E-2
1.800000000E4,5.419570271E-2
1.802343750E4,5.454337319E-2
1.804687500E4,5.415085421E-2
1.807031250E4,5.294123359E-2
1.809375000E4,5.312494301E-2
1.811718750E4,5.353460743E-2
1.814062500E4,5.404743243E-2
1.816406250E4,5.380529900E-2
1.818750000E4,5.393145606E-2
1.821093750E4,5.379892048E-2
1.823437500E4,5.411533623E-2
1.825781250E4,5.376705788E-2
1.828125000E4,5.342398701E-2
1.830468750E4,5.383490421E-2
1.832812500E4,5.383850280E-2
1.835156250E4,5.328016941E-2
1.837500000E4,5.330388732E-2
1.839843750E4,5.298934454E-2
1.842187500E4,5.281788341E-2
1.844531250E4,5.328491260E-2
1.846875000E4,5.293611343E-2
1.849218750E4,5.250401270E-2
1.851562500E4,5.298604217E-2
1.853906250E4,5.345030532E-2
1.856250000E4,5.288850616E-2
1.858593750E4,5.299804694E-2
1.860937500E4,5.274331975E-2
1.863281250E4,5.222190304E-2
1.865625000E4,5.378300176E-2
1.867968750E4,5.238825268E-2
1.870312500E4,5.266353242E-2
1.872656250E4,5.333595602E-2
1.875000000E4,5.373769313E-2
1.877343750E4,5.342883455E-2
1.879687500E4,5.301933948E-2
1.882031250E4,5.302105071E-2
1.884375000E4,5.285919135E-2
1.886718750E4,5.277510803E-2
1.889062500E4,5.226674848E-2
1.891406250E4,5.255026790E-2
1.893750000E4,5.227992305E-2
1.896093750E4,5.195903302E-2
1.898437500E4,5.268529642E-2
1.900781250E4,5.286775729E-2
1.903125000E4,5.279490734E-2
1.905468750E4,5.285868096E-2
1.907812500E4,5.277534673E-2
1.910156250E4,5.258502854E-2
1.912500000E4,5.302584812E-2
1.914843750E4,5.219650792E-2
1.917187500E4,5.247463700E-2
1.919531250E4,5.144084581E-2
1.921875000E4,5.216520788E-2
1.924218750E4,5.261270144E-2
1.926562500E4,5.199137790E-2
1.928906250E4,5.264489041E-2
1.931250000E4,5.199796791E-2
