"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.933593750E4,5.268562695E-2
1.935937500E4,5.240210119E-2
1.938281250E4,5.229995262E-2
1.940625000E4,5.167120719E-2
1.942968750E4,5.174312326E-2
1.945312500E4,5.223754197E-2
1.947656250E4,5.216363948E-2
1.950000000E4,5.303935094E-2
1.952343750E4,5.214750527E-2
1.954687500E4,5.217853323E-2
1.957031250E4,5.265017709E-2
1.959375000E4,5.212313974E-2
1.961718750E4,5.258775536E-2
1.964062500E4,5.234684149E-2
1.966406250E4,5.164527477E-2
1.968750000E4,5.173236473E-2
1.971093750E4,5.150996457E-2
1.973437500E4,5.151608301E-2
1.975781250E4,5.132065087E-2
1.978125000E4,5.194937454E-2
1.980468750E4,5.185751373E-2
1.982812500E4,5.199053865E-2
1.985156250E4,5.117311752E-2
1.987500000E4,5.166716916E-2
1.989843750E4,5.190894794E-2
1.992187500E4,5.143752867E-2
1.994531250E4,5.131545671E-2
1.996875000E4,5.167770862E-2
1.999218750E4,5.122486475E-2
2.001562500E4,5.134932126E-2
2.003906250E4,5.062301179E-2
2.006250000E4,5.122329796E-2
2.008593750E4,5.110792893E-2
2.010937500E4,5.135548144E-2
2.013281250E4,5.150506003E-2
2.015625000E4,5.196186051E-2
2.017968750E4,5.148776217E-2
2.020312500E4,5.168706042E-2
2.022656250E4,5.109791151E-2
2.025000000E4,5.156459275E-2
2.027343750E4,5.077047341E-2
2.029687500E4,5.083193353E-2
2.032031250E4,5.088689835E-2
2.034375000E4,5.105186568E-2
2.036718750E4,5.165624055E-2
2.039062500E4,5.071206806E-2
2.041406250E4,5.095710872E-2
2.043750000E4,5.086822394E-2
2.046093750E4,5.116767160E-2
2.048437500E4,5.118330741E-2
2.050781250E4,5.065752989E-2
2.053125000E4,5.084545661E-2
2.055468750E4,5.079725541E-2
2.057812500E4,5.114625945E-2
2.060156250E4,5.048611920E-2
2.062500000E4,5.106823390E-2
2.064843750E4,5.094462158E-2
2.067187500E4,5.104484566E-2
2.069531250E4,5.087878587E-2
2.071875000E4,5.064058872E-2
2.074218750E4,5.094848624E-2
2.076562500E4,5.090372258E-2
2.078906250E4,5.072181378E-2
2.081250000E4,5.076726958E-2
2.083593750E4,5.060491249E-2
2.085937500E4,5.076586672E-2
2.088281250E4,5.071042159E-2
2.090625000E4,5.089679162E-2
2.092968750E4,5.065063147E-2
2.095312500E4,5.065205263E-2
2.097656250E4,5.081685621E-2
2.100000000E4,5.057947075E-2
2.102343750E4,5.064429460E-2
2.104687500E4,5.054446474E-2
2.107031250E4,5.064692951E-2
2.109375000E4,5.048187609E-2
2.111718750E4,5.056935767E-2
2.114062500E4,5.068102079E-2
2.116406250E4,5.044042579E-2
2.118750000E4,5.055304913E-2
2.121093750E4,5.057489554E-2
2.123437500E4,5.050234021E-2
2.125781250E4,5.050256381E-2
2.128125000E4,5.046268799E-2
2.130468750E4,5.049751579E-2
2.132812500E4,5.049111154E-2
2.135156250E4,5.041050035E-2
2.137500000E4,5.041407861E-2
2.139843750E4,5.045523123E-2
2.142187500E4,5.039806400E-2
2.144531250E4,5.030692842E-2
2.146875000E4,5.043630038E-2
2.149218750E4,5.033249790E-2
2.151562500E4,5.033370321E-2
2.153906250E4,5.032924612E-2
2.156250000E4,5.033989861E-2
2.158593750E4,5.035302086E-2
2.160937500E4,5.030759149E-2
2.163281250E4,5.030871064E-2
2.165625000E4,5.024932573E-2
2.167968750E4,5.028299817E-2
2.170312500E4,5.026728499E-2
2.172656250E4,5.025318619E-2
2.175000000E4,5.023861556E-2
2.177343750E4,5.022957777E-2
2.179687500E4,5.020316851E-2
2.182031250E4,5.019338289E-2
2.184375000E4,5.019328691E-2
2.186718750E4,5.022141414E-2
2.189062500E4,5.015288044E-2
2.191406250E4,5.017140908E-2
2.193750000E4,5.017090371E-2
2.196093750E4,5.016156964E-2
2.198437500E4,5.014356021E-2
2.200781250E4,5.012659103E-2
2.203125000E4,5.010560457E-2
2.205468750E4,5.010287047E-2
2.207812500E4,5.009281816E-2
2.210156250E4,5.007258087E-2
2.212500000E4,5.008682188E-2
2.214843750E4,5.007015510E-2
2.217187500E4,5.007690786E-2
2.219531250E4,5.004757410E-2
2.221875000E4,5.004491176E-2
2.224218750E4,5.002755493E-2
2.226562500E4,5.001978824E-2
2.228906250E4,5.001636384E-2
2.231250000E4,4.999969823E-2
2.233593750E4,4.999699422E-2
2.235937500E4,4.999210772E-2
2.238281250E4,4.998007106E-2
2.240625000E4,4.997097804E-2
2.242968750E4,4.996548369E-2
2.245312500E4,4.996532401E-2
2.247656250E4,4.994990417E-2
2.250000000E4,4.993076661E-2
2.252343750E4,4.993603159E-2
2.254687500E4,4.992869689E-2
2.257031250E4,4.991656627E-2
2.259375000E4,4.990792721E-2
2.261718750E4,4.990230791E-2
2.264062500E4,4.990324255E-2
2.266406250E4,4.988930409E-2
2.268750000E4,4.988653532E-2
2.271093750E4,4.987882001E-2
2.273437500E4,4.986725334E-2
2.275781250E4,4.986237929E-2
2.278125000E4,4.985778087E-2
2.280468750E4,4.985573762E-2
2.282812500E4,4.985146315E-2
2.285156250E4,4.984942648E-2
2.287500000E4,4.984386227E-2
2.289843750E4,4.983056278E-2
2.292187500E4,4.983095677E-2
2.294531250E4,4.982520919E-2
2.296875000E4,4.981894351E-2
2.299218750E4,4.981478959E-2
2.301562500E4,4.980750217E-2
2.303906250E4,4.980276863E-2
2.306250000E4,4.978889259E-2
2.308593750E4,4.979042132E-2
2.310937500E4,4.978512232E-2
2.313281250E4,4.978618945E-2
2.315625000E4,4.978277404E-2
2.317968750E4,4.977615937E-2
2.320312500E4,4.977066112E-2
2.322656250E4,4.976586149E-2
2.325000000E4,4.975771081E-2
2.327343750E4,4.975829864E-2
2.329687500E4,4.976026511E-2
2.332031250E4,4.975227132E-2
2.334375000E4,4.975135964E-2
2.336718750E4,4.974730882E-2
2.339062500E4,4.974430945E-2
2.341406250E4,4.974113156E-2
2.343750000E4,4.973909034E-2
2.346093750E4,4.973081713E-2
2.348437500E4,4.972614683E-2
2.350781250E4,4.972670050E-2
2.353125000E4,4.972394374E-2
2.355468750E4,4.972806024E-2
2.357812500E4,4.972213927E-2
2.360156250E4,4.972138642E-2
2.362500000E4,4.972541450E-2
2.364843750E4,4.971331150E-2
2.367187500E4,4.971749206E-2
2.369531250E4,4.971699583E-2
2.371875000E4,4.970841553E-2
2.374218750E4,4.971008258E-2
2.376562500E4,4.970751929E-2
2.378906250E4,4.970904478E-2
2.381250000E4,4.970374205E-2
2.383593750E4,4.970834610E-2
2.385937500E4,4.970325275E-2
2.388281250E4,4.970200398E-2
2.390625000E4,4.970370861E-2
2.392968750E4,4.970236853E-2
2.395312500E4,4.970073868E-2
2.397656250E4,4.970563884E-2
